0.000,0.000
0.002,0.378
0.004,0.378
0.006,0.378
0.008,0.387
0.010,0.387
0.012,0.387
0.014,0.387
0.016,0.378
0.018,0.378
0.020,0.378
0.022,0.378
0.024,0.360
0.026,0.360
0.028,0.360
0.030,0.360
0.032,0.360
0.034,0.360
0.036,0.360
0.038,0.360
0.040,0.360
0.042,0.360
0.044,0.360
0.046,0.360
0.048,0.369
0.050,0.369
0.052,0.369
0.054,0.369
0.056,0.373
0.058,0.378
0.060,0.382
0.062,0.387
0.064,0.369
0.066,0.369
0.068,0.369
0.070,0.369
0.072,0.369
0.074,0.369
0.076,0.369
0.078,0.369
0.080,0.369
0.082,0.369
0.084,0.369
0.086,0.369
0.088,0.351
0.090,0.351
0.092,0.351
0.094,0.351
0.096,0.360
0.098,0.360
0.100,0.360
0.102,0.360
0.104,0.378
0.106,0.378
0.108,0.378
0.110,0.378
0.112,0.369
0.114,0.369
0.116,0.369
0.118,0.369
0.120,0.369
0.122,0.369
0.124,0.369
0.126,0.369
0.128,0.369
0.130,0.369
0.132,0.369
0.134,0.369
0.136,0.342
0.138,0.342
0.140,0.342
0.142,0.342
0.144,0.351
0.146,0.351
0.148,0.351
0.150,0.351
0.152,0.342
0.154,0.342
0.156,0.342
0.158,0.342
0.160,0.342
0.162,0.342
0.164,0.342
0.166,0.342
0.168,0.333
0.170,0.333
0.172,0.333
0.174,0.333
0.176,0.333
0.178,0.333
0.180,0.333
0.182,0.333
0.184,0.333
0.186,0.333
0.188,0.333
0.190,0.333
0.192,0.333
0.194,0.333
0.196,0.333
0.198,0.333
0.200,0.339
0.202,0.342
0.204,0.348
0.206,0.351
0.208,0.369
0.210,0.369
0.212,0.369
0.214,0.369
0.216,0.394
0.218,0.394
0.220,0.394
0.222,0.394
0.224,0.394
0.226,0.394
0.228,0.394
0.230,0.394
0.232,0.394
0.234,0.394
0.236,0.394
0.238,0.394
0.240,0.394
0.242,0.394
0.244,0.394
0.246,0.394
0.248,0.403
0.250,0.403
